rank,country,country_iso3,cluster,indice_habitabilidad,indices_disponibles,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
138,Niger,NER,1,46.515,8,33.79,50.7,22.86,0.0,69.06,,52.0,13.81,29.9
139,Guatemala,GTM,0,46.28333333333333,9,52.2,49.66,56.98,83.6,65.83,41.33,45.25,48.76,40.14
140,Dominican Republic,DOM,0,46.11777777777778,9,54.55,48.75,65.39,89.77,55.22,39.2,66.56,22.32,52.84
141,El Salvador,SLV,0,45.94111111111111,9,50.66,47.77,67.07,79.4,57.56,37.14,54.25,48.15,30.27
142,Ghana,GHA,1,45.675,8,41.19,43.25,34.53,81.41,75.97,,72.92,19.67,59.28
143,Rwanda,RWA,1,45.065714285714286,7,,58.16,48.21,81.64,67.13,,37.6,19.38,66.62
144,Brunei,BRN,3,45.034285714285716,7,,65.29,80.61,75.92,40.57,,35.56,69.13,0.0
145,Vanuatu,VUT,0,43.73833333333332,6,,56.87,50.5,78.02,,,82.0,28.61,22.47
146,Morocco / Western Sahara,MAR,0,43.69,1,,,,,,,43.69,,
147,Algeria,DZA,1,43.45777777777778,9,44.34,32.14,72.97,91.58,60.38,51.16,35.55,14.1,72.06
148,Tanzania,TZA,1,42.91555555555556,9,35.04,58.8,29.18,87.7,76.25,51.56,40.76,18.36,63.99
149,Aruba,ABW,3,42.85666666666666,3,,,68.4,54.31,14.48,,,,
150,Venezuela,VEN,1,42.75222222222222,9,41.89,26.86,61.03,63.83,67.77,23.61,19.35,42.71,65.38
151,Philippines,PHL,1,42.624444444444435,9,54.92,47.74,43.03,75.53,70.32,49.29,50.87,17.91,25.07
152,Kenya,KEN,1,42.601111111111116,9,41.38,53.23,34.09,88.59,67.7,40.78,48.2,19.79,66.83
153,Comoros,COM,1,42.57285714285714,7,30.33,37.22,35.15,,82.07,,44.28,11.77,57.19
154,Egypt,EGY,1,42.43666666666666,9,36.06,23.96,70.66,86.93,66.35,50.26,20.34,11.35,89.88
155,India,IND,1,42.38111111111111,9,42.02,30.77,47.35,59.18,42.81,55.67,53.19,14.49,54.31
156,Libya,LBY,1,42.25444444444444,9,41.98,32.12,71.73,74.12,59.75,30.0,18.9,9.36,90.57
157,Madagascar,MDG,1,42.11375,8,32.92,65.16,24.22,98.78,84.1,,52.75,13.18,63.36
158,Zambia,ZMB,1,42.01625,8,30.48,52.04,27.79,91.5,82.03,,50.09,17.01,68.19
159,Ivory Coast,CIV,1,41.79875,8,50.8,49.72,21.2,86.46,68.8,,51.0,16.75,62.58
160,Laos,LAO,1,41.48375,8,43.12,65.66,35.99,92.77,77.97,,20.39,9.15,72.36
161,Malawi,MWI,1,41.475,8,30.49,56.24,31.19,100.0,77.84,,60.27,19.95,55.82
162,Senegal,SEN,1,41.415000000000006,8,45.83,35.36,43.06,82.91,46.25,,63.85,15.04,64.84
163,Benin,BEN,1,40.9325,8,36.78,55.39,19.71,89.69,72.21,,58.39,19.13,55.54
164,Burkina Faso,BFA,1,40.73625,8,35.51,48.01,24.85,82.56,76.15,,58.66,15.25,50.02
165,Mali,MLI,1,40.54125,8,31.54,43.45,19.14,48.41,67.27,,43.36,13.41,54.57
166,Togo,TGO,1,40.410000000000004,8,31.89,56.35,24.93,87.46,77.44,,45.56,15.71,58.86
167,Tajikistan,TJK,1,40.06125,8,44.26,22.71,69.11,82.84,62.89,,19.81,13.71,70.84
168,Lesotho,LSO,1,39.99875,8,25.81,35.26,19.94,78.71,62.17,,59.15,20.96,75.41
169,Burundi,BDI,1,39.94571428571429,7,,58.5,30.81,69.61,73.67,,24.29,10.96,51.0
170,Uganda,UGA,1,39.888749999999995,8,35.53,63.84,28.5,96.24,69.16,,34.8,18.63,64.89
171,Eritrea,ERI,1,39.82333333333333,6,,41.84,35.67,,65.36,,10.55,6.72,78.8
172,Djibouti,DJI,1,39.720000000000006,7,,35.54,31.57,51.36,70.98,,27.22,12.55,51.54
173,Cambodia,KHM,1,39.712222222222216,9,39.86,60.11,43.67,73.81,72.34,49.35,25.49,10.69,29.71
174,Turkmenistan,TKM,3,39.70714285714286,7,,51.38,67.26,88.57,41.8,,9.84,10.31,85.93
175,Gabon,GAB,1,39.705,8,40.25,25.96,40.19,84.94,69.57,,34.04,18.43,74.14
176,Gambia,GMB,1,39.68857142857143,7,44.85,,31.92,100.0,46.04,,71.06,24.93,59.02
177,Mozambique,MOZ,1,39.45,8,37.7,58.28,16.17,98.31,81.84,,44.73,14.84,60.35
178,Iraq,IRQ,1,39.26222222222222,9,38.3,35.63,63.7,80.14,51.4,32.88,26.99,5.91,78.69
179,Guinea-Bissau,GNB,1,39.248333333333335,6,,56.23,13.85,,48.52,,51.67,11.78,53.44
180,Myanmar,MMR,1,38.64625,8,33.61,53.63,38.53,90.68,82.89,,21.89,7.81,61.49
181,Papua New Guinea,PNG,1,38.488749999999996,8,,53.17,20.52,73.79,85.15,21.53,59.66,26.34,15.33
182,Iran,IRN,1,38.27444444444444,9,41.9,16.51,77.31,76.59,54.31,46.29,15.48,7.57,61.69
183,Equatorial Guinea,GNQ,1,38.212857142857146,7,,46.04,16.97,100.0,84.03,,20.02,16.58,83.85
184,Eswatini,SWZ,1,38.18,8,27.24,40.5,32.13,91.17,78.45,,26.89,19.17,72.23
185,Sierra Leone,SLE,1,38.11,8,25.46,41.85,13.63,89.75,78.21,,57.86,16.76,60.86
186,Zimbabwe,ZWE,1,37.98888888888889,9,25.41,63.7,32.13,98.52,79.89,38.01,30.38,16.17,54.73
187,Timor-Leste,TLS,1,37.928,5,,,40.95,93.79,,,71.0,35.55,35.93
188,Guinea,GIN,1,36.54125,8,38.11,41.37,11.78,93.01,74.81,,42.34,13.06,63.87
189,Ethiopia,ETH,1,36.351111111111116,9,28.76,56.22,26.58,98.07,66.65,41.65,29.78,8.33,67.26
190,Republic of the Congo,COG,1,36.34,8,36.51,51.33,25.17,89.97,70.42,,15.13,11.12,71.01
191,Central African Republic,CAF,1,35.56,6,,33.47,4.12,,69.89,,24.88,10.77,70.23
192,Syria,SYR,1,35.5325,8,,27.16,59.83,97.31,70.89,24.0,9.53,6.77,83.39
193,Pakistan,PAK,1,35.25888888888889,9,35.74,39.85,31.34,81.04,43.77,46.71,34.86,6.31,59.79
194,Cameroon,CMR,1,35.175,8,35.4,52.41,21.68,86.21,72.87,,25.6,10.45,49.2
195,Democratic Republic of the Congo,COD,1,34.14142857142857,7,32.95,46.9,7.96,,65.62,,32.26,8.02,45.28
196,Chad,TCD,1,33.08,8,28.74,54.79,8.78,82.9,68.19,,26.39,12.19,48.46
197,Angola,AGO,1,32.998571428571424,7,,45.2,18.05,100.0,74.93,,33.15,10.87,48.79
198,North Korea,PRK,1,32.3625,4,,55.64,,,,,11.74,6.65,55.42
199,Mauritania,MRT,1,32.36,8,31.05,28.22,33.23,95.64,42.56,,36.68,14.45,68.33
200,Sudan,SDN,1,31.512857142857143,7,,17.82,40.44,95.31,69.19,,18.73,7.95,61.77
201,Nigeria,NGA,1,31.345555555555556,9,36.39,33.67,12.53,85.62,60.7,35.01,41.83,8.76,38.84
202,Bangladesh,BGD,1,30.83666666666667,9,32.12,47.69,47.33,95.24,74.15,31.75,31.89,6.1,1.74
203,Yemen,YEM,1,29.49125,8,22.89,24.67,37.19,83.09,41.85,,15.87,6.43,70.12
204,Palestinian Territories,PSE,0,28.04,2,,,,,,,37.86,18.22,
205,Haiti,HTI,1,27.967142857142854,7,,27.44,22.03,90.84,52.29,,38.87,11.1,34.88
206,Afghanistan,AFG,1,25.758888888888887,9,11.06,37.08,25.74,100.0,71.07,16.16,25.24,5.8,39.68
207,Somalia,SOM,1,25.575,6,,16.59,8.02,68.0,72.46,,18.37,6.01,
208,South Sudan,SSD,1,24.171666666666667,6,,34.13,10.73,96.41,69.03,,18.52,9.03,
