country,country_iso3,calidad_de_vida_y_bienestar,economia_y_costo_de_vida,salud_publica,vivienda_y_urbanismo,medioambiente_y_sostenibilidad,seguridad_y_criminalidad,gobernanza_y_libertades,migracion_y_movilidad,clima_y_desastres
Kyrgyzstan,KGZ,50.62,42.47,71.27,70.94,73.49,-1.0,40.31,16.65,65.18
Laos,LAO,43.12,65.66,35.99,92.77,77.97,-1.0,20.39,9.15,72.36
Latvia,LVA,67.88,46.21,84.52,40.94,81.27,68.83,86.11,78.81,72.78
Lebanon,LBN,30.61,41.36,77.4,75.89,63.0,52.35,40.11,14.94,87.17
Lesotho,LSO,25.81,35.26,19.94,78.71,62.17,-1.0,59.15,20.96,75.41
Liberia,LBR,33.53,35.86,17.31,23.55,76.3,-1.0,55.7,11.57,66.44
Libya,LBY,41.98,32.12,71.73,74.12,59.75,30.0,18.9,9.36,90.57
Liechtenstein,LIE,-1.0,69.23,73.08,64.41,-1.0,-1.0,87.42,89.43,-1.0
Lithuania,LTU,70.5,46.14,85.34,32.33,77.69,75.84,88.8,76.12,94.43
Luxembourg,LUX,74.09,69.46,93.9,46.89,65.91,79.35,92.89,90.06,94.97
Macao,MAC,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.88,-1.0
Madagascar,MDG,32.92,65.16,24.22,98.78,84.1,-1.0,52.75,13.18,63.36
Malawi,MWI,30.49,56.24,31.19,100.0,77.84,-1.0,60.27,19.95,55.82
Malaysia,MYS,61.34,54.07,78.03,78.7,58.46,50.38,54.63,75.6,59.01
Maldives,MDV,-1.0,62.67,82.53,70.42,84.35,37.4,47.9,33.03,95.29
Mali,MLI,31.54,43.45,19.14,48.41,67.27,-1.0,43.36,13.41,54.57
Malta,MLT,64.49,52.8,92.67,51.32,73.55,88.94,78.77,83.11,100.0
Marshall Islands,MHL,-1.0,11.55,36.83,40.93,-1.0,-1.0,93.0,47.83,-1.0
Mauritania,MRT,31.05,28.22,33.23,95.64,42.56,-1.0,36.68,14.45,68.33
Mauritius,MUS,60.81,49.85,77.21,82.62,73.89,-1.0,77.34,55.56,65.45
Mexico,MEX,60.54,44.1,71.36,73.4,66.95,43.33,52.26,59.81,68.54
Micronesia,FSM,-1.0,-1.0,48.08,-1.0,-1.0,-1.0,92.0,49.46,67.89
Moldova,MDA,54.44,32.89,73.45,43.62,75.09,61.95,65.38,43.42,83.96
Monaco,MCO,-1.0,63.57,-1.0,51.47,80.25,-1.0,83.0,84.65,-1.0
Mongolia,MNG,51.74,39.59,59.78,27.38,61.38,49.42,69.66,17.59,56.07
Montenegro,MNE,59.52,33.67,77.89,62.37,73.01,-1.0,69.48,49.11,79.32
Morocco,MAR,43.67,39.46,72.02,88.92,74.42,59.67,36.22,21.04,76.57
Morocco / Western Sahara,MAR,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.69,-1.0,-1.0
Mozambique,MOZ,37.7,58.28,16.17,98.31,81.84,-1.0,44.73,14.84,60.35
Myanmar,MMR,33.61,53.63,38.53,90.68,82.89,-1.0,21.89,7.81,61.49
Namibia,NAM,46.38,32.29,35.74,77.83,80.03,37.68,76.95,23.13,80.83
Nauru,NRU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.0,32.42,-1.0
Nepal,NPL,46.61,54.61,47.51,93.5,59.22,65.55,55.51,7.22,76.45
Netherlands,NLD,77.12,65.76,90.34,62.1,73.17,82.9,95.05,80.87,64.19
New Zealand,NZL,75.06,65.68,88.67,59.63,79.9,63.98,93.68,80.69,78.88
