country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Greece,GRC,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.215,92.15,0.3,True
Greece,GRC,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.025505275277890885,67.9175,0.3,True
Greenland,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.0836596095045827,81.6834,0.2,False
Greenland,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01667215350609039,82.4103,0.3,True
Guadeloupe,,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.3667530224525044,75.7387,0.2,False
Guadeloupe,,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01295336787564767,88.5118,0.3,True
Guatemala,GTM,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9438154240546891,84.6199,0.2,False
Guatemala,GTM,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.8125,88.125,0.3,True
Guatemala,GTM,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.01911984618671224,78.3943,0.3,True
Guinea,GIN,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.2756,98.6517,0.2,False
Guinea,GIN,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.0125,89.2557,0.3,True
Guyana,GUY,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.9217620612670419,85.083,0.2,False
