country,country_iso3,category,variable,source,raw_value,normalized_score,weight,primary
Pakistan,PAK,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.3397310220485519,76.3061,0.2,False
Pakistan,PAK,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.015584039284162047,84.1956,0.3,True
Panama,PAN,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.0535334184759473,82.316,0.2,False
Panama,PAN,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,3.1530000000000005,31.53,0.3,True
Panama,PAN,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.03142857142857143,58.199,0.3,True
Papua New Guinea,PNG,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.7720195171608881,88.2274,0.2,False
Papua New Guinea,PNG,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.02779000732815518,64.1689,0.3,True
Paraguay,PRY,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.5860341779611078,71.1341,0.2,False
Paraguay,PRY,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,9.2265,92.265,0.3,True
Paraguay,PRY,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.030642309958750738,59.489,0.3,True
Peru,PER,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.8551008968609864,86.4828,0.2,False
Peru,PER,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.712,87.12,0.3,True
Peru,PER,vivienda_y_urbanismo,rent_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,0.019532746074301034,77.7168,0.3,True
Philippines,PHL,vivienda_y_urbanismo,buy_price_to_salary_inverted,global-cost-of-living/cost-of-living_v2.csv,1.2218013696856715,78.7825,0.2,False
Philippines,PHL,vivienda_y_urbanismo,city_qol_housing,city-quality-of-life-dataset/uaScoresDataFrame.csv,8.5955,85.955,0.3,True
