country,country_iso3,category,available_weight,total_category_weight,coverage_ratio,variable_count,has_primary_source,category_score,reason
India,IND,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,30.77,ok
Indonesia,IDN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,51.45,ok
Iran,IRN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,16.51,ok
Iraq,IRQ,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,35.63,ok
Ireland,IRL,economia_y_costo_de_vida,0.15,1.0,0.15,1,False,-1.0,insufficient_coverage
Israel,ISR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,64.44,ok
Italy,ITA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,41.32,ok
Ivory Coast,CIV,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,49.72,ok
Jamaica,JAM,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,42.74,ok
Japan,JPN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,61.74,ok
Jordan,JOR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,30.23,ok
Kazakhstan,KAZ,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,47.93,ok
Kenya,KEN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,53.23,ok
Kiribati,KIR,economia_y_costo_de_vida,0.5,1.0,0.5,3,False,42.43,ok
Kosovo,XKX,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Kuwait,KWT,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,68.91,ok
Kyrgyzstan,KGZ,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,42.47,ok
Laos,LAO,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,65.66,ok
Latvia,LVA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,46.21,ok
Lebanon,LBN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,41.36,ok
Lesotho,LSO,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,35.26,ok
Liberia,LBR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,35.86,ok
Libya,LBY,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,32.12,ok
Liechtenstein,LIE,economia_y_costo_de_vida,0.5,1.0,0.5,3,False,69.23,ok
Lithuania,LTU,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,46.14,ok
Luxembourg,LUX,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,69.46,ok
Macao,MAC,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Madagascar,MDG,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,65.16,ok
Malawi,MWI,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,56.24,ok
Malaysia,MYS,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,54.07,ok
Maldives,MDV,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,62.67,ok
Mali,MLI,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,43.45,ok
Malta,MLT,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,52.8,ok
Marshall Islands,MHL,economia_y_costo_de_vida,0.5,1.0,0.5,3,False,11.55,ok
Mauritania,MRT,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,28.22,ok
Mauritius,MUS,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,49.85,ok
Mexico,MEX,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,44.1,ok
Micronesia,FSM,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Moldova,MDA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,32.89,ok
Monaco,MCO,economia_y_costo_de_vida,0.4,1.0,0.4,2,False,63.57,ok
Mongolia,MNG,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,39.59,ok
Montenegro,MNE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,33.67,ok
Morocco,MAR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,39.46,ok
Morocco / Western Sahara,MAR,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Mozambique,MOZ,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,58.28,ok
Myanmar,MMR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,53.63,ok
Namibia,NAM,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,32.29,ok
Nauru,NRU,economia_y_costo_de_vida,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
Nepal,NPL,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,54.61,ok
Netherlands,NLD,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,65.76,ok
New Zealand,NZL,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,65.68,ok
Nicaragua,NIC,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,41.04,ok
Niger,NER,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,50.7,ok
Nigeria,NGA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,33.67,ok
North Korea,PRK,economia_y_costo_de_vida,0.6,1.0,0.6,3,False,55.64,ok
North Macedonia,MKD,economia_y_costo_de_vida,0.4,1.0,0.4,2,False,9.79,ok
Northern Cyprus,CTU,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Norway,NOR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,70.48,ok
OECS,CSS,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Oman,OMN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,69.36,ok
Pakistan,PAK,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,39.85,ok
Palau,PLW,economia_y_costo_de_vida,0.5,1.0,0.5,3,False,38.72,ok
Palestinian Territories,PSE,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Panama,PAN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,55.41,ok
Papua New Guinea,PNG,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,53.17,ok
Paraguay,PRY,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,49.64,ok
Peru,PER,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,57.89,ok
Philippines,PHL,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,47.74,ok
Poland,POL,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,46.79,ok
Portugal,PRT,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,51.34,ok
Puerto Rico,PRI,economia_y_costo_de_vida,0.15,1.0,0.15,1,False,-1.0,insufficient_coverage
Qatar,QAT,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,92.92,ok
Republic of the Congo,COG,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,51.33,ok
Romania,ROU,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,46.45,ok
Russia,RUS,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,42.83,ok
Rwanda,RWA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,58.16,ok
Saint Kitts and Nevis,KNA,economia_y_costo_de_vida,0.5,1.0,0.5,3,False,53.56,ok
Saint Lucia,LCA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,35.97,ok
Saint Vincent and the Grenadines,VCT,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,35.95,ok
Samoa,WSM,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,48.13,ok
San Marino,SMR,economia_y_costo_de_vida,0.65,1.0,0.65,4,False,61.75,ok
Sao Tome and Principe,STP,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Saudi Arabia,SAU,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,59.67,ok
Senegal,SEN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,35.36,ok
Serbia,SRB,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,34.22,ok
Seychelles,SYC,economia_y_costo_de_vida,0.65,1.0,0.65,4,False,52.58,ok
Sierra Leone,SLE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,41.85,ok
Singapore,SGP,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,75.89,ok
Slovakia,SVK,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,45.3,ok
Slovenia,SVN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,55.14,ok
Solomon Islands,SLB,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,70.73,ok
Somalia,SOM,economia_y_costo_de_vida,0.75,1.0,0.75,4,False,16.59,ok
South Africa,ZAF,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,30.86,ok
South Korea,KOR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,60.77,ok
South Sudan,SSD,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,34.13,ok
Spain,ESP,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,41.83,ok
Sri Lanka,LKA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,36.67,ok
Sudan,SDN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,17.82,ok
Suriname,SUR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,27.65,ok
Sweden,SWE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,60.36,ok
Switzerland,CHE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,73.15,ok
Syria,SYR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,27.16,ok
Taiwan,TWN,economia_y_costo_de_vida,0.15,1.0,0.15,1,False,-1.0,insufficient_coverage
Tajikistan,TJK,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,22.71,ok
Tanzania,TZA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,58.8,ok
Thailand,THA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,55.1,ok
Timor-Leste,TLS,economia_y_costo_de_vida,0.15,1.0,0.15,1,False,-1.0,insufficient_coverage
Togo,TGO,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,56.35,ok
Tonga,TON,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,51.9,ok
Trinidad and Tobago,TTO,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,59.48,ok
Tunisia,TUN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,20.12,ok
Turkey,TUR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,20.05,ok
Turkmenistan,TKM,economia_y_costo_de_vida,0.75,1.0,0.75,4,False,51.38,ok
Tuvalu,TUV,economia_y_costo_de_vida,0.25,1.0,0.25,1,False,-1.0,insufficient_coverage
Uganda,UGA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,63.84,ok
Ukraine,UKR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,28.4,ok
United Arab Emirates,ARE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,85.43,ok
United Kingdom,GBR,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,62.73,ok
United States,USA,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,52.62,ok
Uruguay,URY,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,40.19,ok
Uzbekistan,UZB,economia_y_costo_de_vida,0.85,1.0,0.85,5,False,37.73,ok
Vanuatu,VUT,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,56.87,ok
Vatican,VAT,economia_y_costo_de_vida,0.0,1.0,0.0,0,False,-1.0,no_data
Venezuela,VEN,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,26.86,ok
Vietnam,VNM,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,52.05,ok
Yemen,YEM,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,24.67,ok
Zambia,ZMB,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,52.04,ok
Zimbabwe,ZWE,economia_y_costo_de_vida,1.0,1.0,1.0,6,False,63.7,ok
Afghanistan,AFG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,25.24,ok
Albania,ALB,gobernanza_y_libertades,1.0,1.0,1.0,3,True,60.6,ok
Algeria,DZA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,35.55,ok
Andorra,AND,gobernanza_y_libertades,0.75,1.0,0.75,2,True,85.16,ok
Angola,AGO,gobernanza_y_libertades,1.0,1.0,1.0,3,True,33.15,ok
Antigua and Barbuda,ATG,gobernanza_y_libertades,0.4,1.0,0.4,1,True,85.0,ok
Argentina,ARG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,76.93,ok
Armenia,ARM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,60.69,ok
Aruba,ABW,gobernanza_y_libertades,0.0,1.0,0.0,0,False,-1.0,no_data
Australia,AUS,gobernanza_y_libertades,1.0,1.0,1.0,3,True,89.96,ok
Austria,AUT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,88.21,ok
Azerbaijan,AZE,gobernanza_y_libertades,1.0,1.0,1.0,3,True,22.0,ok
Bahamas,BHS,gobernanza_y_libertades,0.4,1.0,0.4,1,True,91.0,ok
Bahrain,BHR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,19.79,ok
Bangladesh,BGD,gobernanza_y_libertades,1.0,1.0,1.0,3,True,31.89,ok
Barbados,BRB,gobernanza_y_libertades,0.4,1.0,0.4,1,True,95.0,ok
Belarus,BLR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,22.71,ok
Belgium,BEL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,89.38,ok
Belize,BLZ,gobernanza_y_libertades,0.75,1.0,0.75,2,True,78.76,ok
Benin,BEN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,58.39,ok
Bhutan,BTN,gobernanza_y_libertades,0.75,1.0,0.75,2,True,59.12,ok
Bolivia,BOL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,52.76,ok
Bosnia and Herzegovina,BIH,gobernanza_y_libertades,0.65,1.0,0.65,2,True,47.68,ok
Bosnia-Herzegovina,BIH,gobernanza_y_libertades,0.35,1.0,0.35,1,True,65.43,ok
Botswana,BWA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,69.42,ok
Brazil,BRA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,63.65,ok
Brunei,BRN,gobernanza_y_libertades,0.75,1.0,0.75,2,True,35.56,ok
Bulgaria,BGR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,70.74,ok
Burkina Faso,BFA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,58.66,ok
Burundi,BDI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,24.29,ok
Cambodia,KHM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,25.49,ok
Cameroon,CMR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,25.6,ok
Canada,CAN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,92.65,ok
Cape Verde,CPV,gobernanza_y_libertades,0.75,1.0,0.75,2,True,84.4,ok
Central African Republic,CAF,gobernanza_y_libertades,1.0,1.0,1.0,3,True,24.88,ok
Chad,TCD,gobernanza_y_libertades,1.0,1.0,1.0,3,True,26.39,ok
Chile,CHL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,79.26,ok
China,CHN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,17.9,ok
Colombia,COL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,53.46,ok
Comoros,COM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,44.28,ok
Congo-Brazzaville,COG,gobernanza_y_libertades,0.35,1.0,0.35,1,True,60.42,ok
Costa Rica,CRI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,86.41,ok
Croatia,HRV,gobernanza_y_libertades,1.0,1.0,1.0,3,True,77.98,ok
Cuba,CUB,gobernanza_y_libertades,1.0,1.0,1.0,3,True,17.24,ok
Cyprus,CYP,gobernanza_y_libertades,1.0,1.0,1.0,3,True,82.25,ok
Czechia,CZE,gobernanza_y_libertades,1.0,1.0,1.0,3,True,87.42,ok
Côte d'Ivoire,CIV,gobernanza_y_libertades,0.35,1.0,0.35,1,True,68.83,ok
Democratic Republic of the Congo,COD,gobernanza_y_libertades,0.75,1.0,0.75,2,True,32.26,ok
Denmark,DNK,gobernanza_y_libertades,1.0,1.0,1.0,3,True,95.12,ok
Djibouti,DJI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,27.22,ok
Dominica,DMA,gobernanza_y_libertades,0.4,1.0,0.4,1,True,93.0,ok
Dominican Republic,DOM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,66.56,ok
East Timor,TLS,gobernanza_y_libertades,0.35,1.0,0.35,1,True,84.49,ok
Ecuador,ECU,gobernanza_y_libertades,1.0,1.0,1.0,3,True,58.89,ok
Egypt,EGY,gobernanza_y_libertades,1.0,1.0,1.0,3,True,20.34,ok
El Salvador,SLV,gobernanza_y_libertades,1.0,1.0,1.0,3,True,54.25,ok
Equatorial Guinea,GNQ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,20.02,ok
Eritrea,ERI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,10.55,ok
Estonia,EST,gobernanza_y_libertades,1.0,1.0,1.0,3,True,91.15,ok
Eswatini,SWZ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,26.89,ok
Ethiopia,ETH,gobernanza_y_libertades,1.0,1.0,1.0,3,True,29.78,ok
Fiji,FJI,gobernanza_y_libertades,0.75,1.0,0.75,2,True,59.66,ok
Finland,FIN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,95.78,ok
France,FRA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,85.75,ok
Gabon,GAB,gobernanza_y_libertades,1.0,1.0,1.0,3,True,34.04,ok
Gambia,GMB,gobernanza_y_libertades,0.35,1.0,0.35,1,True,71.06,ok
Georgia,GEO,gobernanza_y_libertades,1.0,1.0,1.0,3,True,62.69,ok
Germany,DEU,gobernanza_y_libertades,1.0,1.0,1.0,3,True,91.18,ok
Ghana,GHA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,72.92,ok
Greece,GRC,gobernanza_y_libertades,1.0,1.0,1.0,3,True,73.35,ok
Grenada,GRD,gobernanza_y_libertades,0.4,1.0,0.4,1,True,89.0,ok
Guatemala,GTM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,45.25,ok
Guinea,GIN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,42.34,ok
Guinea-Bissau,GNB,gobernanza_y_libertades,0.75,1.0,0.75,2,True,51.67,ok
Guyana,GUY,gobernanza_y_libertades,1.0,1.0,1.0,3,True,68.17,ok
Haiti,HTI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,38.87,ok
Honduras,HND,gobernanza_y_libertades,1.0,1.0,1.0,3,True,35.77,ok
Hong Kong,HKG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,53.17,ok
Hungary,HUN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,61.84,ok
Iceland,ISL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,91.72,ok
India,IND,gobernanza_y_libertades,1.0,1.0,1.0,3,True,53.19,ok
Indonesia,IDN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,56.79,ok
Iran,IRN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,15.48,ok
Iraq,IRQ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,26.99,ok
Ireland,IRL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,94.92,ok
Israel,ISR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,70.83,ok
Italy,ITA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,81.18,ok
Ivory Coast,CIV,gobernanza_y_libertades,0.4,1.0,0.4,1,True,51.0,ok
Jamaica,JAM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,76.12,ok
Japan,JPN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,83.42,ok
Jordan,JOR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,40.18,ok
Kazakhstan,KAZ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,32.07,ok
Kenya,KEN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,48.2,ok
Kiribati,KIR,gobernanza_y_libertades,0.4,1.0,0.4,1,True,93.0,ok
Kosovo,XKX,gobernanza_y_libertades,0.75,1.0,0.75,2,True,60.71,ok
Kuwait,KWT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,36.47,ok
Kyrgyzstan,KGZ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,40.31,ok
Laos,LAO,gobernanza_y_libertades,1.0,1.0,1.0,3,True,20.39,ok
Latvia,LVA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,86.11,ok
Lebanon,LBN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,40.11,ok
Lesotho,LSO,gobernanza_y_libertades,1.0,1.0,1.0,3,True,59.15,ok
Liberia,LBR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,55.7,ok
Libya,LBY,gobernanza_y_libertades,1.0,1.0,1.0,3,True,18.9,ok
Liechtenstein,LIE,gobernanza_y_libertades,0.75,1.0,0.75,2,True,87.42,ok
Lithuania,LTU,gobernanza_y_libertades,1.0,1.0,1.0,3,True,88.8,ok
Luxembourg,LUX,gobernanza_y_libertades,1.0,1.0,1.0,3,True,92.89,ok
Macao,MAC,gobernanza_y_libertades,0.0,1.0,0.0,0,False,-1.0,no_data
Madagascar,MDG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,52.75,ok
Malawi,MWI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,60.27,ok
Malaysia,MYS,gobernanza_y_libertades,1.0,1.0,1.0,3,True,54.63,ok
Maldives,MDV,gobernanza_y_libertades,0.75,1.0,0.75,2,True,47.9,ok
Mali,MLI,gobernanza_y_libertades,1.0,1.0,1.0,3,True,43.36,ok
Malta,MLT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,78.77,ok
Marshall Islands,MHL,gobernanza_y_libertades,0.4,1.0,0.4,1,True,93.0,ok
Mauritania,MRT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,36.68,ok
Mauritius,MUS,gobernanza_y_libertades,1.0,1.0,1.0,3,True,77.34,ok
Mexico,MEX,gobernanza_y_libertades,1.0,1.0,1.0,3,True,52.26,ok
Micronesia,FSM,gobernanza_y_libertades,0.4,1.0,0.4,1,True,92.0,ok
Moldova,MDA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,65.38,ok
Monaco,MCO,gobernanza_y_libertades,0.4,1.0,0.4,1,True,83.0,ok
Mongolia,MNG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,69.66,ok
Montenegro,MNE,gobernanza_y_libertades,1.0,1.0,1.0,3,True,69.48,ok
Morocco,MAR,gobernanza_y_libertades,0.65,1.0,0.65,2,True,36.22,ok
Morocco / Western Sahara,MAR,gobernanza_y_libertades,0.35,1.0,0.35,1,True,43.69,ok
Mozambique,MOZ,gobernanza_y_libertades,1.0,1.0,1.0,3,True,44.73,ok
Myanmar,MMR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,21.89,ok
Namibia,NAM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,76.95,ok
Nauru,NRU,gobernanza_y_libertades,0.4,1.0,0.4,1,True,77.0,ok
Nepal,NPL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,55.51,ok
Netherlands,NLD,gobernanza_y_libertades,1.0,1.0,1.0,3,True,95.05,ok
New Zealand,NZL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,93.68,ok
Nicaragua,NIC,gobernanza_y_libertades,1.0,1.0,1.0,3,True,27.65,ok
Niger,NER,gobernanza_y_libertades,1.0,1.0,1.0,3,True,52.0,ok
Nigeria,NGA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,41.83,ok
North Korea,PRK,gobernanza_y_libertades,0.75,1.0,0.75,2,True,11.74,ok
North Macedonia,MKD,gobernanza_y_libertades,1.0,1.0,1.0,3,True,66.08,ok
Northern Cyprus,CTU,gobernanza_y_libertades,0.75,1.0,0.75,2,True,72.01,ok
Norway,NOR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,98.31,ok
OECS,CSS,gobernanza_y_libertades,0.35,1.0,0.35,1,True,58.36,ok
Oman,OMN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,29.27,ok
Pakistan,PAK,gobernanza_y_libertades,1.0,1.0,1.0,3,True,34.86,ok
Palau,PLW,gobernanza_y_libertades,0.4,1.0,0.4,1,True,92.0,ok
Palestinian Territories,PSE,gobernanza_y_libertades,0.35,1.0,0.35,1,True,37.86,ok
Panama,PAN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,71.48,ok
Papua New Guinea,PNG,gobernanza_y_libertades,1.0,1.0,1.0,3,True,59.66,ok
Paraguay,PRY,gobernanza_y_libertades,1.0,1.0,1.0,3,True,56.6,ok
Peru,PER,gobernanza_y_libertades,1.0,1.0,1.0,3,True,62.03,ok
Philippines,PHL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,50.87,ok
Poland,POL,gobernanza_y_libertades,1.0,1.0,1.0,3,True,74.76,ok
Portugal,PRT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,91.0,ok
Puerto Rico,PRI,gobernanza_y_libertades,0.4,1.0,0.4,1,True,89.0,ok
Qatar,QAT,gobernanza_y_libertades,1.0,1.0,1.0,3,True,38.7,ok
Republic of the Congo,COG,gobernanza_y_libertades,0.65,1.0,0.65,2,True,15.13,ok
Romania,ROU,gobernanza_y_libertades,1.0,1.0,1.0,3,True,75.98,ok
Russia,RUS,gobernanza_y_libertades,1.0,1.0,1.0,3,True,24.71,ok
Rwanda,RWA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,37.6,ok
Saint Kitts and Nevis,KNA,gobernanza_y_libertades,0.0,1.0,0.0,0,False,-1.0,no_data
Saint Lucia,LCA,gobernanza_y_libertades,0.4,1.0,0.4,1,True,92.0,ok
Saint Vincent and the Grenadines,VCT,gobernanza_y_libertades,0.0,1.0,0.0,0,False,-1.0,no_data
Samoa,WSM,gobernanza_y_libertades,0.75,1.0,0.75,2,True,81.54,ok
San Marino,SMR,gobernanza_y_libertades,0.4,1.0,0.4,1,True,95.0,ok
Sao Tome and Principe,STP,gobernanza_y_libertades,0.4,1.0,0.4,1,True,84.0,ok
Saudi Arabia,SAU,gobernanza_y_libertades,1.0,1.0,1.0,3,True,19.22,ok
Senegal,SEN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,63.85,ok
Serbia,SRB,gobernanza_y_libertades,1.0,1.0,1.0,3,True,58.64,ok
Seychelles,SYC,gobernanza_y_libertades,1.0,1.0,1.0,3,True,71.73,ok
Sierra Leone,SLE,gobernanza_y_libertades,1.0,1.0,1.0,3,True,57.86,ok
Singapore,SGP,gobernanza_y_libertades,1.0,1.0,1.0,3,True,52.32,ok
Slovakia,SVK,gobernanza_y_libertades,1.0,1.0,1.0,3,True,85.09,ok
Slovenia,SVN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,82.5,ok
Solomon Islands,SLB,gobernanza_y_libertades,0.4,1.0,0.4,1,True,79.0,ok
Somalia,SOM,gobernanza_y_libertades,1.0,1.0,1.0,3,True,18.37,ok
South Africa,ZAF,gobernanza_y_libertades,1.0,1.0,1.0,3,True,77.99,ok
South Korea,KOR,gobernanza_y_libertades,1.0,1.0,1.0,3,True,78.18,ok
South Sudan,SSD,gobernanza_y_libertades,1.0,1.0,1.0,3,True,18.52,ok
Spain,ESP,gobernanza_y_libertades,1.0,1.0,1.0,3,True,85.47,ok
Sri Lanka,LKA,gobernanza_y_libertades,1.0,1.0,1.0,3,True,49.72,ok
Sudan,SDN,gobernanza_y_libertades,1.0,1.0,1.0,3,True,18.73,ok
